Semana,Fecha_Inicio,Fecha_Fin,Mes,Temporada,Propietario
1,2026-01-05,2026-01-11,January,ALTA,Ticket A
2,2026-01-12,2026-01-18,January,ALTA,Ticket B
3,2026-01-19,2026-01-25,January,ALTA,Ticket C
4,2026-01-26,2026-02-01,January,ALTA,Ticket D
5,2026-02-02,2026-02-08,February,ALTA,Ticket D
6,2026-02-09,2026-02-15,February,ALTA,Ticket C
7,2026-02-16,2026-02-22,February,ALTA,Ticket B
8,2026-02-23,2026-03-01,February,ALTA,Ticket A
9,2026-03-02,2026-03-08,March,ALTA,Ticket A
10,2026-03-09,2026-03-15,March,ALTA,Ticket B
11,2026-03-16,2026-03-22,March,ALTA,Ticket C
12,2026-03-23,2026-03-29,March,ALTA,Ticket D
13,2026-03-30,2026-04-05,March,ALTA,Ticket D
14,2026-04-06,2026-04-12,April,MEDIA,Ticket A
15,2026-04-13,2026-04-19,April,MEDIA,Ticket B
16,2026-04-20,2026-04-26,April,MEDIA,Ticket C
17,2026-04-27,2026-05-03,April,MEDIA,Ticket D
18,2026-05-04,2026-05-10,May,BAJA,Ticket A
19,2026-05-11,2026-05-17,May,BAJA,Ticket B
20,2026-05-18,2026-05-24,May,MEDIA,Ticket D
21,2026-05-25,2026-05-31,May,MEDIA,Ticket C
22,2026-06-01,2026-06-07,June,BAJA,Ticket C
23,2026-06-08,2026-06-14,June,BAJA,Ticket D
24,2026-06-15,2026-06-21,June,BAJA,Ticket D
25,2026-06-22,2026-06-28,June,BAJA,Ticket C
26,2026-06-29,2026-07-05,June,BAJA,Ticket B
27,2026-07-06,2026-07-12,July,ALTA,Ticket C
28,2026-07-13,2026-07-19,July,ALTA,Ticket B
29,2026-07-20,2026-07-26,July,ALTA,Ticket A
30,2026-07-27,2026-08-02,July,ALTA,Ticket A
31,2026-08-03,2026-08-09,August,ALTA,Ticket B
32,2026-08-10,2026-08-16,August,ALTA,Ticket C
33,2026-08-17,2026-08-23,August,ALTA,Ticket D
34,2026-08-24,2026-08-30,August,ALTA,Ticket D
35,2026-08-31,2026-09-06,August,BAJA,Ticket A
36,2026-09-07,2026-09-13,September,BAJA,Ticket A
37,2026-09-14,2026-09-20,September,BAJA,Ticket B
38,2026-09-21,2026-09-27,September,BAJA,Ticket C
39,2026-09-28,2026-10-04,September,BAJA,Ticket D
40,2026-10-05,2026-10-11,October,MEDIA,Ticket B
41,2026-10-12,2026-10-18,October,MEDIA,Ticket A
42,2026-10-19,2026-10-25,October,MEDIA,Ticket A
43,2026-10-26,2026-11-01,October,MEDIA,Ticket B
44,2026-11-02,2026-11-08,November,MEDIA,Ticket C
45,2026-11-09,2026-11-15,November,MEDIA,Ticket D
46,2026-11-16,2026-11-22,November,MEDIA,Ticket D
47,2026-11-23,2026-11-29,November,MEDIA,Ticket C
48,2026-11-30,2026-12-06,November,ALTA,Ticket C
49,2026-12-07,2026-12-13,December,ALTA,Ticket B
50,2026-12-14,2026-12-20,December,ALTA,Ticket A
51,2026-12-21,2026-12-27,December,ALTA,Ticket A
52,2026-12-28,2027-01-03,December,ALTA,Ticket B
